Flink Loves;Flink Loves;NA;Visible;;
SimplyChic;SimplyChic;NA;Visible;;
BohemianChic;BohemianChic;NA;Visible;;
StreetLove;StreetLove;NA;Visible;;
YouRock;YouRock;NA;Visible;;
DaretoWear;DaretoWear;NA;Visible;;
SummerCool;SummerCool;NA;Visible;;
AllBlack;AllBlack;NA;Visible;;
SoWhite;SoWhite;NA;Visible;;
RomanticTouch;RomanticTouch;NA;Visible;;
BeCasual;BeCasual;NA;Visible;;
FlowerPower;FlowerPower;NA;Visible;;
TropicalSummer;TropicalSummer;NA;Visible;;
AnimalSpirit;AnimalSpirit;NA;Visible;;
Cartoon;Cartoon;NA;Visible;;
DenimSpirit;DenimSpirit;NA;Visible;;
Colors;Colors;NA;Visible;;
Sporty;Sporty;NA;Visible;;
WorkingGirl;WorkingGirl;NA;Visible;;
BacktoSchool;BacktoSchool;NA;Visible;;
Ethnic;Ethnic;NA;Visible;;
Denim;Jean;Material;Invisible;;
Lace;Dentelle;Material;Invisible;;
Crochet;Crochet;Material;Invisible;;
Leather;Cuir;Material;Invisible;;
Canvas;Toile;Material;Invisible;;
Feather;Plume;Material;Invisible;;
Sequin;Sequin;Material;Invisible;;
Glitter;Paillettes;Material;Invisible;;
Pearl;Perles;Material;Invisible;;
Fringe;Franges;Material;Invisible;;
Plastic;Plastique;Material;Invisible;;
Fur;Fourrure;Material;Invisible;;
Tulle;Tulle;Material;Invisible;;
Hound's-tooth;Pied de poule;Printed;Invisible;;
Vichy;Vichy;Printed;Invisible;;
Cartoon;Cartoon;Printed;Invisible;;
Fruity;Fruit;Printed;Invisible;;
Marble;Marbre;Printed;Invisible;;
Bandana;Bandana;Printed;Invisible;;
Animal;Animaux;Printed;Invisible;;
Food;Nourriture;Printed;Invisible;;
Tie&Die;Tie&Die;Printed;Invisible;;
Tartan;Tartan;Printed;Invisible;;
Stripes;Rayures;Printed;Invisible;;
Polka dots;Points;Printed;Invisible;;
Studded;Clouté;Printed;Invisible;;
Mint;Menthe;Colors;Invisible;;
Peach;Peche;Colors;Invisible;;
Gold;Or;Colors;Invisible;;
Silver;Argent;Colors;Invisible;;
Pastels;Pastel;Colors;Invisible;;
Black & White;Noir & Blanc;Colors;Invisible;;
Yellow;Jaune;Colors;Invisible;;
Blue;Bleu;Colors;Invisible;;
Red;Rouge;Colors;Invisible;;
Orange;Orange;Colors;Invisible;;
Green;Vert;Colors;Invisible;;
Pink;Rose;Colors;Invisible;;
Glamour;Glamour;Style;Invisible;;
Festival / Music;Festival / Musique;Style;Invisible;;
Retro;Retro;Style;Invisible;;
British;British;Style;Invisible;;
BCBG;BCBG;Style;Invisible;;
Destroy;Destroy;Style;Invisible;;
Red Carpet;Tapis rouge;Style;Invisible;;
Party;Soirée;Style;Invisible;;
Supporter;Supporter;Style;Invisible;;
Minimalist;Minimaliste;Style;Invisible;;
Boyfriend;Copain;Style;Invisible;;
Transparent;Transparent;Style;Invisible;;
Pencil skirt;Jupe crayon;Style;Invisible;;
Midi skirt;Jupe midi;Style;Invisible;;
Maxi;Maxi;Style;Invisible;;
Army;Armée;Style;Invisible;;
Indian / Cowboy;Indien / Cowboy;Style;Invisible;;
Arty;Arty;Style;Invisible;;
Crown;Couronne;Style;Invisible;;
Turban;Turban;Style;Invisible;;
Sportswear;Sportswear;Style;Invisible;;
Boyish;Garçon;Style;Invisible;;
Collar;Col;Style;Invisible;;
Halter top;Dos nu;Style;Invisible;;
Loose;Relaché;Style;Invisible;;
Haircolor;Cheveux colorés;Style;Invisible;;
Litte Dress;Petite robe;Style;Invisible;;
Total Look;Total Look;Style;Invisible;;